perfil_seguidores2,numero_seguidores2
kariadra8.s,102
ryan991237,41
fernfilmes,1104
vitoria.govisk,90
womanlingeriepe,33
souza.johnny,67
luisaanaq,25
fonheloise,68
marcelarw01,68
anrerrelpo,116
memebraboooo,86
heitordiego9,101
moneey001,111
santosbibi514,63
_melissaandrad3,130
mc_menor_k_oficial,999
reynaldobrito27,79
clarinha_soares_23,100
brendamicaelazinha,73
jose.maria2284,59
tete15_03,170
souzaellen7,102
augustosousaa6,110
jac.kbm,106
cervejaria95,211
enricobarros9,53
luluzinha3625,558
sashlevan,81
cydinha28,128
elia.s9567,45
julianaalves._ccp,50
viito_oo,57
thamarafontes111,95
luisapsll,154
barbaraflavia36,44
larimendes208,218
facluberonaldo94,80
lewisclarice317,124
vestigiosdeumamulher,39
tricolorvoltou,30
emagrecendo_certo0,134
tallitaborgees,126
sirucarabral,50
edu1996_play,42
michelesv13,33
lucas_gabriel8711,52
pedrvd,62
manue_la5107,91
analine_ofcl,45
vanessa.sous.a,52
guto.0fc,38
fontedosabeer,71
geovana_monte12,59
desouzaandreaparecido,61
anxerzlps,52
joaopedrojp2022,39
laur_abrito2,126
mal_feito_feito__,48
rafaelaferreira.1,67
biancarodrigues786,97
fer_nanda5952,98
cabe.losnow,124
alis.son4198,158
maryrosieh_d,79
luana123v,151
jeiz.zer,117
maria.carla99,49
frasesbonita100,77
educando_kids,62
danytzadieine18,70
renda_croche90,34
micheletavaress157,80
marianafernandes45039,190
natalia.bessa.982,356
tibeolucas,43
secretaolharesgmail.com5,108
kaiio_cantanhedde,19
julianagomes90553,59
athenamolaco,115
fernandapaschoalottos2,155
fcdebruynebrasil,81
beijoterias556,156
aguiarjucasl,425
danyystars,78
barberia_pereira,82
newmetalbands,47
brokenbbxb,58
karina_hata,83
luizhudsonvital,87
agata_semunovic,175
naracosta61,44
camillahickmann,393
alanasara8_,369
ojog_o1,80
faclube_babal_guimaraes,66
julia12ar,103
_marcelamarquiori,34
maah022_03,64
euleticiaalv,92
walisson.lucas.esteves.ma,41
juniorcardii,90
isabellaalmeida776,53
arminluceni,997
crystalrtsfp,150
anton_iosilva06,104
evespinder,65
zonasul5050,49
caaamilamendes,62
